;Id_Trade;Moeda;Preco Dolar;Preco Reais;Volume;Tamanho
109;2905400;MPL;4.52;21.997;20635.292;1.053
110;464834;ADAT;0.253;1.2312;63188.46;39.53
111;20807;VET;0.0183;0.0891;68624949.0;14.0
112;4124719;TRAC;0.2316;1.1271;189991.1;38.7
113;2671029;XCN;0.0008;0.0039;61461906.7;8391.2
114;2207441;DNT;0.0233;0.1134;820203.5;96.2
115;1062428;KAVA;0.6597;3.2105;113423.87;7.53
116;567938;MXC;0.0095;0.0462;7783559.7;2000.0
117;14897757;UMA;1.418;6.9008;25869.711;16.003
118;8657679;NKN;0.0894;0.4351;774901.0;470.0
119;19823783;ANKR;0.0195;0.0949;12250416.0;1271.0
120;80761;PUNDIX;0.3473;1.6902;46646.57;14.32
121;821141;HOPR;0.045;0.219;756386.7;110.4
122;362868;CELR;0.012;0.0584;3269743.0;358.0
123;464131;QI;0.0052;0.0253;782653.0;7409.0
124;299972;BIT;0.4115;2.0026;8093.03;9.64
125;1771759;GFI;0.4024;1.9583;189646.84;55.35
126;33191;VTHO;0.0012;0.0058;303874782.0;79.0
127;21758810;DAI;1.0;4.8666;575918.30659;1.19698
128;381282;SPA;0.0037;0.018;3159689.0;16029.0
129;4356350;NCT;0.0087;0.0423;2002424.0;886.0
130;2165302;APET;1.155;5.6209;48888.69;7.0
131;12727142;SPELL;0.0005;0.0024;2971803549.0;2667.0
132;283910;SEI;0.1272;0.619;6876777.0;7.8
133;2500622;CBETH;1713.34;8338.1404;345.97796;0.17384
134;871835;RNDRT;1.62;7.8839;32164.86;40.0
135;2960483;TC;1.0;4.8666;426427.86;65.65
136;3352610;GTC;0.94;4.5746;126263.57;1.07
137;2415475;ALCX;12.18;59.2752;46785.8319;0.0813
138;1429880;SWFTC;0.0011;0.0054;30571416.0;226120.0
139;90840;ENJT;0.233;1.1339;23077.58;150.0
140;10486632;ENJ;0.235;1.1437;929085.33;4017.83
141;3015229;NEAR;1.135;5.5236;181004.466;0.89
142;32121148;AVAX;9.58;46.622;207665.516;92.066
143;46727;C98T;0.1376;0.6696;3342.63;96.68
144;4968290;ICPT;3.06;14.8918;38949.1489;4.0
145;65408;ANT;4.35;21.1697;1769.76;1.5
146;1836533;INJ;7.419;36.1053;90839.96;72.86
147;25030341;COMP;42.22;205.4679;24449.114;12.309
148;407479;ALICE;0.782;3.8057;3178.069;366.186
149;292197;GMTT;0.1574;0.766;13346.1;4763.94
150;164347;OPT;1.428;6.9495;22861.53;134.55
151;287086;RPL;22.46;109.3038;2561.11;1.0
152;2384621;DOTT;4.22;20.5371;2400.73;0.267
153;971991;MASKT;2.64;12.8478;1277.04;4.0
154;37099;G;0.987;4.8033;382978.08;23.97
155;16428614;SNX;2.24;10.9012;206386.916;81.812
156;411049;QNTT;92.91;452.1558;195.9759;1.7365
157;5690339;AUCTION;4.76;23.165;50375.45;2.045
158;15158855;BTCT;26690.46;129891.7926;883.5603728;0.06467122
159;5321395;MDT;0.0477;0.2321;11583320.0;960.0
160;2249766;QUICK;42.6;207.3172;376.2318;1.7124
161;4249214;BICO;0.2082;1.0132;143456.67;3.29
162;662411;AUCTIONT;4.76;23.165;2986.775;4.5
163;620806;IMXT;0.5273;2.5662;14924.17;112.36
164;2008215;POWR;0.1431;0.6964;163758.8;52.0
165;7213927;BNT;0.4554;2.2162;623598.327058;97.848479
166;467074;SUPERT;0.0805;0.3918;1570.65;224.15
167;1710913;CHZT;0.0602;0.293;194272.9;408.1
168;184867;DEXT;0.5574;2.7126;13520.4;700.8
169;2042039;ROSE;0.0417;0.2029;6798245.4;2488.9
170;5554901;MLN;14.0;68.1324;2234.65;11.842
171;30528369;XTZ;0.688;3.3482;307404.01;5.22
172;5303961;ENS;7.8;37.9595;14226.297;23.839
173;300121;DIMO;0.0925;0.4502;203141.7;50.5
174;129337;LIT;0.6701;3.2611;16958.28;206.05
175;28297464;JASMY;0.0036;0.0175;188858619.0;1369.0
176;5559159;ASM;0.0107;0.0521;631621.0;464.0
177;6803835;AXS;4.84;23.5543;139878.469;0.203
178;295416;GNO;102.43;498.4858;44.6466;0.0485
179;3780769;SAND;0.3075;1.4965;550236.06;99.7
180;2537782;BLZ;0.1598;0.7777;3354995.4;57.0
181;1724841;MCO2;1.57;7.6406;160630.35;5.91
182;1517399;AIOZ;0.0116;0.0565;1154490.6;772.8
183;66487;XRPT;0.503;2.4479;1045992.818166;2.5
184;652330;SNT;0.0223;0.1085;193649.6;86.7
185;1919479;FIDA;0.1521;0.7402;703305.04;1311.12
186;1125689;XYOT;0.0029;0.0141;372409.0;34386.8
187;392676;ARPAT;0.0461;0.2244;136498.1;659.4
188;1643097;PLU;6.39;31.0976;6371.7;0.92
189;315965;POWRT;0.1423;0.6925;14421.7;140.6
190;9973659;DASH;27.09;131.8362;3486.49996794;0.889
191;272107;STXT;0.4739;2.3063;35757.75;421.4
192;13041400;IOTX;0.0159;0.0774;1749974.0;312.0
193;1073585;MATH;0.0663;0.3227;135085.6;3.8
194;1858342;HFT;0.3221;1.5675;384371.64;341.13
195;1116568;DYP;0.126;0.6132;279055.1;39.4
196;14770697;QNT;93.89;456.9251;17654.993;2.743
197;611791;RADT;1.36;6.6186;2474.9;269.88
198;116340;VOXEL;0.1318;0.6414;32496.03;177.48
199;1338583;TONE;0.0107;0.0521;14053142.0;3066.0
200;5749449;LCX;0.0408;0.1986;2361683.5;97.3
201;313501;RARE;0.0614;0.2988;104840.8;1603.0
202;317227;WAXL;0.3531;1.7184;76542.27;15.43
203;922530;TIME;15.36;74.751;3668.707;1.011
204;9930857;CTSI;0.1287;0.6263;3398213.2;105.3
205;454996;LOKA;0.1845;0.8979;120967.3;2920.59
206;2524537;FX;0.1205;0.5864;83502.3;14.7
207;712312;ILV;41.08;199.9199;1551.3258;0.1209
208;4766339;OP;1.43;6.9592;2013874.18;3.03
209;316166;PYR;3.494;17.0039;32512.54;5.8
210;882243;AXST;4.84;23.5543;10622.194;1.5
211;24288066;YFI;5603.73;27271.1124;105.696626;0.001394
212;6032680;1INCH;0.26;1.2653;510714.83;34.59
213;120581;DAR;0.092;0.4477;21475.39;3249.92
214;16781389;CRV;0.439;2.1364;1084914.81;10.25
215;5391887;IMX;0.5267;2.5632;558535.83;58.68
216;3987502;GODS;0.1677;0.8161;680688.42;1.9
217;6299520;RNDR;1.6185;7.8766;1209821.17;241.54
218;267548;MTL;1.649;8.025;197265.22;14.05
219;419196;TRACT;0.2273;1.1062;2270.8;191.6
220;1763410;SUPER;0.0805;0.3918;269959.67;3160.94
221;1771700;ACS;0.0018;0.0088;167704689.0;84.0
222;562491462;BTC;26689.93;129889.2133;9086.88648272;0.006079
223;88236;ERNT;1.44;7.0079;0.0;1.38
224;87175;EUROC;1.0663;5.1893;38450.43;0.32
225;286724;ZENT;7.43;36.1588;1085.776;0.969
226;1351244;FLOW;0.455;2.2143;710620.724;4.734
227;75676003;MATIC;0.5342;2.5997;6909142.9;14.6
228;873535;MNDE;0.042;0.2044;1491740.0;209.5
229;638184;DESOT;8.64;42.0474;217.236;0.981
230;30220402;XRP;0.5029;2.4474;50962609.012353;19.681909
231;39777;PONDT;0.008;0.0389;63586.0;487.0
232;330521;LQTYT;0.833;4.0539;23556.21;1.2
233;713651;CGBP;0.8075;3.9298;806045.5;31.0
234;1336741;WCFG;0.251;1.2215;212598.71;202.0
235;8085771;SOLT;19.3;93.9254;11705.981;8.3
236;51500712;ATOM;7.097;34.5383;277323.03;1.26
237;3720;PY;1.0;4.8666;688246.6;4.23
238;1642809;ZEN;7.43;36.1588;4637.664;0.692
239;16181774;ETHT;1647.91;8019.7188;5622.44668001;0.06068
240;576887;WAMPL;2.54;12.3612;6924.574;0.687
241;1823008;FOX;0.0218;0.1061;2849253.5;228.0
242;732297;LCXT;0.0411;0.2;123569.7;608.5
243;1636185;REQT;0.0629;0.3061;4839.0;2381.0
244;1441223;FETT;0.2389;1.1626;192626.4;42.0
245;16528040;APE;1.154;5.6161;1669506.6;0.09
246;1708181;HIGH;1.424;6.93;112741.42;7.98
247;178753;SANDT;0.307;1.494;35825.19;374.59
248;22226840;CGLD;0.442;2.151;698970.0;2.89
249;13154535;SUSHI;0.6469;3.1482;1564703.63;394.55
250;227562;LRCT;0.1846;0.8984;14025.94;1890.52
251;1525060;ALEPH;0.0731;0.3557;57349.2;11.5
252;3125227;PRO;0.2577;1.2541;308279.88;20.47
253;91740050;SOL;19.31;93.974;761707.711;32.15
254;6897352;FORTH;2.66;12.9452;14099.565;1.5
255;319811;C98;0.1394;0.6784;653670.31;35.65
256;1178746;CROT;0.0514;0.2501;102891.1;532.3
257;129633;MSOL;21.62;105.2159;748.912;1.29
258;2123446;BADGER;2.16;10.5119;31648.239;2.3
259;5839546;BAT;0.1786;0.8692;687235.95;5.54
260;3085708;KRL;0.218;1.0609;29382.1;22.8
261;1841429;GYEN;0.0068;0.0331;1116814.0;1445.0
262;3397670;RAD;1.36;6.6186;17252.47;758.15
263;9622977;CLV;0.0326;0.1587;3473655.69;602.36
264;1118399;MAGIC;0.5036;2.4508;303641.53;36.56
265;5241416;DESO;8.61;41.9014;28421.898;0.98
266;67248277;LINK;6.376;31.0294;1107899.68;24.96
267;2338382;IDEX;0.0477;0.2321;366342.0;79.2
268;22734477;MKR;1292.72;6291.1512;2337.175894;0.46563
269;6828468;SHIBT;0.0;0.0;3191437819.0;1232626.0
270;56590855;T;1.0;4.8666;111922987.08;203.0
271;647565;ABT;0.0734;0.3572;175960.3;52.5
272;6214173;SHPING;0.0048;0.0234;63223342.0;133082.0
273;27307;LSETH;1692.12;8234.8712;60.52748;0.50874
274;33362721;UNI;4.398;21.4033;175903.123101;2.5
275;117141254;LTC;66.59;324.0669;171347.52852375;0.13425497
276;2666880;AGLD;0.5751;2.7988;137553.4;87.81
277;2205626;MINA;0.39;1.898;358884.916;3.472
278;583049;PRIME;3.828;18.6293;99218.13;13.02
279;1598707;WBTC;26712.03;129996.7652;0.71188365;4.528e-05
280;5029512;PLA;0.1505;0.7324;59916.4;4230.1
281;1904780;AVT;0.8;3.8933;95430.34;6.21
282;6755408;OGN;0.0941;0.4579;3620871.29;10.63
283;3328265;AVAXT;9.57;46.5734;18790.597;13.0
284;1694465;ORN;0.532;2.589;24218.74;2.27
285;16443591;REN;0.0488;0.2375;1827055.231657;2015.088255
286;296341;T;0.0183;0.0891;2907117.0;1090.0
287;88410;OSMO;0.3395;1.6522;98577.87;2001.47
288;14017645;KNC;0.6357;3.0937;1232529.4;428.4
289;1323825;CVC;0.0726;0.3533;221764.0;126.4
290;6179041;COVAL;0.0075;0.0365;8446010.0;667.0
291;6981839;COTI;0.0438;0.2132;1718662.5;22.8
292;545169;METIS;10.74;52.2673;2620.099;34.618
293;5105149;LPT;6.26;30.4649;58005.111;162.881
294;570523;INDEX;1.02;4.9639;16690.622;4.87
295;1287347;CTX;0.91;4.4286;27327.757;0.352
296;9375537;STORJ;0.4028;1.9603;6269194.33;467.39
297;10995417;BAND;1.056;5.1391;20689.54;3.78
298;3557384;STX;0.4754;2.3136;828876.41;41.68
299;374833;FLR;0.0111;0.054;10135962.0;31.0
300;2059958;ARB;0.8344;4.0607;2326000.38;356.68
301;19721687;EOS;0.5819;2.8319;924457.0;1.7
302;2515589;ARPA;0.0459;0.2234;1882294.4;5.0
303;97757011;ADA;0.2534;1.2332;21250961.48;218.76
304;89029898;XLM;0.121;0.5889;53327143.0;29.0
305;115366;GHST;0.761;3.7035;9971.1;78.16
306;254600;HFTT;0.3224;1.569;18285.51;107.91
307;3316842;API3;1.118;5.4409;77234.81;1.0
308;973723;ENST;7.81;38.0081;299.287;0.279
309;2808735;DOGET;0.0628;0.3056;4100791.9;76.8
310;3931932;HBAR;0.0523;0.2545;45687455.3;19.2
